Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
870,68,3/28/2014,29-088,MIA,@,DET,W (+32),1,29:46:00,7,13,0.538,1,3,0.333,2,2,1,2,8,10,12,1,0,1,0,17,22.9,32
871,69,3/29/2014,29-089,MIA,@,MIL,W (+21),1,30:03:00,5,10,0.5,1,3,0.333,2,4,0.5,2,5,7,2,0,0,4,1,13,7.1,19
872,70,3/31/2014,29-091,MIA,,TOR,W (+10),1,38:53:00,11,20,0.55,1,6,0.167,9,11,0.818,0,7,7,8,1,0,6,2,32,23.5,22
873,71,4/2/2014,29-093,MIA,,MIL,W (+19),1,29:21:00,7,12,0.583,1,3,0.333,2,5,0.4,0,4,4,8,1,1,2,0,17,16.7,18
874,72,4/4/2014,29-095,MIA,,MIN,L (-1),1,47:57:00,12,24,0.5,2,4,0.5,8,10,0.8,2,6,8,5,4,1,4,5,34,26.6,7
875,73,4/6/2014,29-097,MIA,,NYK,W (+11),1,42:47:00,13,22,0.591,3,7,0.429,9,12,0.75,0,5,5,6,1,0,5,0,38,28.3,2
876,74,4/8/2014,29-099,MIA,,BRK,L (-1),1,37:08:00,9,16,0.563,0,3,0,11,14,0.786,1,9,10,6,2,0,3,0,29,26.8,-2
877,75,4/9/2014,29-100,MIA,@,MEM,L (-5),1,41:22:00,14,23,0.609,3,5,0.6,6,7,0.857,1,5,6,5,2,0,5,1,37,28.4,-8
878,76,4/11/2014,29-102,MIA,,IND,W (+12),1,34:52:00,11,20,0.55,2,4,0.5,12,13,0.923,1,5,6,1,1,1,2,1,36,28.2,13
879,77,4/12/2014,29-103,MIA,@,ATL,L (-13),1,37:21:00,10,22,0.455,3,7,0.429,4,8,0.5,3,5,8,5,0,1,3,2,27,18,-13
880,,4/14/2014,29-105,MIA,@,WAS,L (-21),Inactive,,,,,,,,,,,,,,,,,,,,,
881,,4/16/2014,29-107,MIA,,PHI,L (-13),Inactive,,,,,,,,,,,,,,,,,,,,,
882,1,10/30/2012,27-305,MIA,,BOS,W (+13),1,28:52:00,10,16,0.625,2,4,0.5,4,5,0.8,1,9,10,3,2,0,0,2,26,25.1,12
883,2,11/2/2012,27-308,MIA,@,NYK,L (-20),1,36:41:00,8,16,0.5,2,3,0.667,5,6,0.833,0,7,7,5,0,3,5,2,23,16.5,-21
884,3,11/3/2012,27-309,MIA,,DEN,W (+3),1,39:12:00,8,17,0.471,0,1,0,4,4,1,1,8,9,11,0,2,0,2,20,22.7,7
885,4,11/5/2012,27-311,MIA,,PHO,W (+25),1,30:11:00,10,17,0.588,2,3,0.667,1,3,0.333,3,8,11,1,0,0,3,2,23,15.7,25
886,5,11/7/2012,27-313,MIA,,BRK,W (+30),1,29:59:00,7,12,0.583,2,3,0.667,4,4,1,4,8,12,8,1,0,2,1,20,23.8,18
887,6,11/9/2012,27-315,MIA,@,ATL,W (+6),1,35:40:00,10,17,0.588,0,2,0,1,3,0.333,2,9,11,9,1,0,2,2,21,20.9,0
888,7,11/11/2012,27-317,MIA,@,MEM,L (-18),1,35:43:00,10,19,0.526,0,1,0,0,4,0,3,7,10,6,2,1,2,2,20,17.4,-18
889,8,11/12/2012,27-318,MIA,@,HOU,W (+3),1,39:55:00,14,26,0.538,5,8,0.625,5,8,0.625,1,9,10,6,0,0,0,1,38,31.4,8
890,9,11/14/2012,27-320,MIA,@,LAC,L (-7),1,41:13:00,12,23,0.522,0,3,0,6,9,0.667,0,5,5,7,1,2,4,3,30,21.1,-15
891,10,11/15/2012,27-321,MIA,@,DEN,W (+5),1,41:57:00,11,23,0.478,0,1,0,5,6,0.833,1,6,7,12,1,3,4,0,27,24.9,9
892,11,11/17/2012,27-323,MIA,@,PHO,W (+9),1,40:43:00,8,20,0.4,1,3,0.333,4,7,0.571,0,7,7,3,2,0,1,1,21,13.8,20
893,12,11/21/2012,27-327,MIA,,MIL,W (+7),1,42:32:00,11,21,0.524,2,4,0.5,4,8,0.5,2,8,10,8,1,1,1,3,28,25,5
894,13,11/24/2012,27-330,MIA,,CLE,W (+2),1,39:58:00,10,16,0.625,2,5,0.4,8,9,0.889,1,5,6,5,0,1,7,3,30,20.6,7
895,14,11/29/2012,27-335,MIA,,SAS,W (+5),1,39:06:00,9,16,0.563,2,5,0.4,3,6,0.5,3,6,9,7,4,0,4,2,23,22.2,-1
896,15,12/1/2012,27-337,MIA,,BRK,W (+13),1,36:57:00,8,15,0.533,1,2,0.5,4,6,0.667,1,8,9,6,1,0,2,3,21,18,14
897,16,12/4/2012,27-340,MIA,@,WAS,L (-4),1,42:53:00,12,24,0.5,1,4,0.25,1,3,0.333,2,11,13,11,3,2,3,1,26,26.6,-3
898,17,12/6/2012,27-342,MIA,,NYK,L (-20),1,38:35:00,11,20,0.55,3,5,0.6,6,9,0.667,2,8,10,9,3,0,2,0,31,31.3,-17
899,18,12/8/2012,27-344,MIA,,NOH,W (+16),1,35:55:00,11,16,0.688,0,0,,2,3,0.667,1,4,5,7,2,0,4,2,24,20.8,10
900,19,12/10/2012,27-346,MIA,,ATL,W (+9),1,40:21:00,10,16,0.625,1,2,0.5,6,7,0.857,1,6,7,6,2,0,3,0,27,25.1,12
901,20,12/12/2012,27-348,MIA,,GSW,L (-2),1,42:21:00,12,23,0.522,2,4,0.5,5,5,1,1,2,3,5,1,0,4,0,31,21.5,-3
902,21,12/15/2012,27-351,MIA,,WAS,W (+30),1,30:33:00,8,15,0.533,0,3,0,7,11,0.636,0,10,10,5,1,0,2,0,23,19.6,36
903,22,12/18/2012,27-354,MIA,,MIN,W (+11),1,41:59:00,8,18,0.444,2,5,0.4,4,5,0.8,0,6,6,11,1,4,0,0,22,25.5,12
904,23,12/20/2012,27-356,MIA,@,DAL,W (+15),1,30:55:00,9,13,0.692,3,5,0.6,3,4,0.75,0,9,9,5,1,1,5,0,24,21,25
905,24,12/22/2012,27-358,MIA,,UTA,W (+16),1,37:30:00,11,20,0.55,1,1,1,7,10,0.7,1,8,9,7,0,0,4,0,30,23.2,14
906,25,12/25/2012,27-361,MIA,,OKC,W (+6),1,41:52:00,12,20,0.6,0,3,0,5,5,1,3,5,8,9,2,1,3,3,29,28.2,13
